time,tau_h,r_react,theta_m,theta_act,V_cmd,Kp,Kr,Kd
0.0,0.0,0.0006280000000000001,1.5700000000000002e-06,0.0,0.005021488000000006,7.996,7.996000000000009,0.49975
0.005,0.0,0.0018520976000000002,7.6093190000000005e-06,5.272562400000006e-06,0.014233100278585101,7.992001999999954,7.992002000000076,0.4995001249907595
0.01,0.0,0.00364150864192,2.21294544073e-05,2.5320894467594368e-05,0.02688430195968044,7.988005999000257,7.988005998999811,0.4992503749762514
0.015,0.0,0.005966535924830464,5.0058592449927917e-05,7.29551945500868e-05,0.042300508950770394,7.984011996007021,7.984011995996013,0.499000750606761
0.02,0.0,0.008798538614855541,9.706601674430707e-05,0.00016347834971324425,0.05987824608631594,7.980019990049731,7.980019989973841,0.4987512547403481
0.025,0.0,0.01210990233948748,0.00016940478941610622,0.00031397239614405423,0.0790803773892981,7.9760299802249195,7.976029979887015,0.498501895430401
0.03,0.0,0.015874009956016233,0.0002737711977372258,0.0005426775046455198,0.09943143854192898,7.972041965782043,7.972041964621001,0.4982526906078704
0.035,0.0,0.020065212983753734,0.0004171795696912747,0.0008684556248885388,0.12051309636330634,7.9680559462688265,7.968055942932703,0.4980036745244652
0.04,0.0,0.024658803689717356,0.0006068511647499839,0.0013103313075592407,0.14195975534477123,7.964071921752413,7.964071913360333,0.4977549058252792
0.045,0.0,0.029630987817431023,0.0008501159419345248,0.0018871026177123564,0.1634543271064181,7.960089893129912,7.9600898740978066,0.4975064769504893
0.05,0.0,0.03495885794850506,0.001154326096417038,0.002617015450836804,0.1847241750064912,7.956109862537899,7.9561098228291804,0.497258524438812
0.055,0.0,0.04062036748666659,0.0015267803389269236,0.0035174949614164286,0.20553724303209786,7.952131833865363,7.952131756520076,0.49701123962488936
0.06,0.0,0.04659430525393072,0.00197465796947333,0.004604928208865679,0.2256983754758353,7.948155813369201,7.948155671164751,0.49676487918755796
0.065,0.0,0.052860270688628495,0.002504961868762984,0.0058944925149838085,0.2450458316936765,7.944181810385878,7.94418156148925,0.4965197750112661
0.07,0.0,0.059398649635040476,0.003124469597539366,0.0074000244083692115,0.26344799837187277,7.940209838127722,7.9402094206128515,0.4962763428618577
0.075,0.0,0.06619059071442383,0.003839691856230321,0.009133924402862079,0.2808003001317883,7.9362399145478575,7.936239239671714,0.4960350894427643
0.08,0.0,0.07321798226726647,0.0046568376150797714,0.011107093217669827,0.2970223079053118,7.932272063254047,7.932271007410154,0.49579661748044485
0.085,0.0,0.08046342985665317,0.00558178527864821,0.013328895395263565,0.3120550432651802,7.928306314448996,7.928304709746305,0.4955616285813
0.09,0.0,0.08791023432268522,0.006620059298469897,0.015807146608493864,0.3258584757536792,7.924342705872906,7.924340329319946,0.49533092369971343
0.095,0.0,0.0955423703779575,0.0077768116940081355,0.018548121269881493,0.33840920919392087,7.920381283723305,7.920377845031113,0.49510540115282664
0.1,0.0,0.10334446573416381,0.009056807985092938,0.021556577363025266,0.3496983519779019,7.916422103527364,7.9164172315785555,0.49488605220776116
0.105,0.0,0.11130178074997248,0.010464417078981459,0.02483579570796058,0.35972956540374207,7.9124652309429395,7.912458459007391,0.4946739543479889
0.11,0.0,0.11940018859039073,0.012003604692259652,0.028387631148614645,0.3685172832881098,7.908510742466342,7.908501492275224,0.4944702623951861
0.115,0.0,0.12762615588791576,0.013677929922199164,0.03221257341084826,0.37608509532122825,7.904558726027224,7.904546290845756,0.4942761977198849
0.12,0.0,0.1359667238958542,0.015490544614078864,0.03630981562366458,0.3824642859755517,7.9006092814538045,7.900592808318409,0.49409303581804037
0.125,0.0,0.14440949012427906,0.017444195200546096,0.04067732872383446,0.3876925202393032,7.896662520794863,7.896640992101814,0.4939220925613971
0.13,0.0,0.15294259044918324,0.019541226716488197,0.04531194017539517,0.39181266703421663,7.892718568488315,7.892690783138184,0.4937647094479
0.135,0.0,0.16155468168548284,0.021783588718258574,0.05020941563031929,0.39487175090084276,7.888777561369664,7.888742115684655,0.4936222381853669
0.14,0.0,0.1702349246146191,0.024172842859592814,0.05536454233535897,0.3969200223977889,7.884839648517102,7.884794917156626,0.4934960249384815
0.145,0.0,0.17897296745760682,0.026710171898288664,0.06077121325301981,0.3980101376615399,7.880904990933373,7.880849108037037,0.49338739455730063
0.15,0.0,0.18775892978447908,0.029396389927830405,0.06642251101231424,0.3981964377046374,7.8769737610676644,7.876904601854419,0.49329763508636204
0.155,0.0,0.19658338685118015,0.03223195364672635,0.07231079093801315,0.3975343182813522,7.873046142183722,7.872961305231396,0.49322798282861957
0.16,0.0,0.20543735435506522,0.03521697449550354,0.07842776252628883,0.39607968150766826,7.869122327582963,7.869019118004205,0.49317960820922374
0.165,0.0,0.214312273600272,0.038351231507164935,0.08476456884074332,0.3938884608699069,7.86520251969365,7.865077933412784,0.49315360265193686
0.17,0.0,0.2231999970643382,0.04163418473155313,0.09131186339673295,0.3910162117756658,7.861286929039084,7.861137638359888,0.49315096664691993
0.17500000000000002,0.0,0.23209277435754966,0.04506498910756749,0.09805988418456756,0.3875177603732587,7.85737577309934,7.857198113736823,0.493172599153818
0.18,0.0,0.24098323856661447,0.048642508669628035,0.10499852455454399,0.38344690397296244,7.853469275082232,7.853259234812487,0.4932192884494237
0.185,0.0,0.24986439297437274,0.052365330986244386,0.11211740074983428,0.37885615702747744,7.849567662620008,7.849320871681668,0.4932917044954935
0.19,0.0,0.2587295981473636,0.0562317817391019,0.11940591592794438,0.37379653725374784,7.845671166408782,7.8453828897678575,0.4933903928701702
0.195,0.0,0.2675725593831871,0.060239939360783874,0.12685332055871248,0.36831738708929906,7.841780018807823,7.841445150375309,0.49351577027643856
0.2,0.0,0.2763873145097128,0.06438764965816998,0.13444876912750825,0.3624662262611553,7.837894452415705,7.8375075112845645,0.49366812161350154
0.20500000000000002,0.0,0.2851682220283045,0.0686725403567428,0.14218137310724832,0.3562886317941746,7.8340146986399075,7.833569827385358,0.49384759857219923
